monotonic_us,timestamp_us,lat,lon,alt,roll,pitch,yaw,vel_x,vel_y,vel_z
402280593,1761936371661073,0.000000000,0.000000000,0.000,1.421757,0.065490,-0.901231,0.000000,0.000000,0.000000
402287681,1761936371668160,0.000000000,0.000000000,0.000,1.421763,0.065484,-0.901241,0.000000,0.000000,0.000000
402296842,1761936371677321,0.000000000,0.000000000,0.000,1.421753,0.065482,-0.901253,0.000000,0.000000,0.000000
402301657,1761936371682136,0.000000000,0.000000000,0.000,1.421755,0.065482,-0.901251,0.000000,0.000000,0.000000
402308549,1761936371689028,0.000000000,0.000000000,0.000,1.421746,0.065480,-0.901255,0.000000,0.000000,0.000000
402315653,1761936371696132,0.000000000,0.000000000,0.000,1.421749,0.065487,-0.901256,0.000000,0.000000,0.000000
402322536,1761936371703015,0.000000000,0.000000000,0.000,1.421761,0.065483,-0.901254,0.000000,0.000000,0.000000
402329566,1761936371710045,0.000000000,0.000000000,0.000,1.421756,0.065480,-0.901249,0.000000,0.000000,0.000000
402336597,1761936371717076,0.000000000,0.000000000,0.000,1.421755,0.065476,-0.901258,0.000000,0.000000,0.000000
402343535,1761936371724014,0.000000000,0.000000000,0.000,1.421753,0.065476,-0.901265,0.000000,0.000000,0.000000
402350605,1761936371731084,0.000000000,0.000000000,0.000,1.421737,0.065479,-0.901275,0.000000,0.000000,0.000000
402357635,1761936371738114,0.000000000,0.000000000,0.000,1.421734,0.065477,-0.901280,0.000000,0.000000,0.000000
402364668,1761936371745147,0.000000000,0.000000000,0.000,1.421744,0.065485,-0.901275,0.000000,0.000000,0.000000
402371566,1761936371752045,0.000000000,0.000000000,0.000,1.421743,0.065485,-0.901276,0.000000,0.000000,0.000000
402378608,1761936371759087,0.000000000,0.000000000,0.000,1.421752,0.065482,-0.901267,0.000000,0.000000,0.000000
402385639,1761936371766118,0.000000000,0.000000000,0.000,1.421754,0.065480,-0.901271,0.000000,0.000000,0.000000
402392571,1761936371773050,0.000000000,0.000000000,0.000,1.421757,0.065487,-0.901269,0.000000,0.000000,0.000000
402399614,1761936371780093,0.000000000,0.000000000,0.000,1.421754,0.065487,-0.901267,0.000000,0.000000,0.000000
402406644,1761936371787123,0.000000000,0.000000000,0.000,1.421754,0.065489,-0.901266,0.000000,0.000000,0.000000
402413689,1761936371794168,0.000000000,0.000000000,0.000,1.421748,0.065486,-0.901266,0.000000,0.000000,0.000000
402420586,1761936371801065,0.000000000,0.000000000,0.000,1.421741,0.065484,-0.901266,0.000000,0.000000,0.000000
402427617,1761936371808096,0.000000000,0.000000000,0.000,1.421741,0.065484,-0.901272,0.000000,0.000000,0.000000
402434648,1761936371815127,0.000000000,0.000000000,0.000,1.421735,0.065493,-0.901283,0.000000,0.000000,0.000000
402441575,1761936371822054,0.000000000,0.000000000,0.000,1.421732,0.065493,-0.901278,0.000000,0.000000,0.000000
402448603,1761936371829082,0.000000000,0.000000000,0.000,1.421742,0.065487,-0.901270,0.000000,0.000000,0.000000
402455633,1761936371836112,0.000000000,0.000000000,0.000,1.421744,0.065483,-0.901272,0.000000,0.000000,0.000000
402462683,1761936371843163,0.000000000,0.000000000,0.000,1.421742,0.065485,-0.901261,0.000000,0.000000,0.000000
402469569,1761936371850048,0.000000000,0.000000000,0.000,1.421742,0.065477,-0.901264,0.000000,0.000000,0.000000
402476609,1761936371857088,0.000000000,0.000000000,0.000,1.421750,0.065473,-0.901274,0.000000,0.000000,0.000000
402483637,1761936371864116,0.000000000,0.000000000,0.000,1.421748,0.065470,-0.901280,0.000000,0.000000,0.000000
402490557,1761936371871036,0.000000000,0.000000000,0.000,1.421744,0.065468,-0.901277,0.000000,0.000000,0.000000
402497569,1761936371878048,0.000000000,0.000000000,0.000,1.421740,0.065475,-0.901290,0.000000,0.000000,0.000000
402504608,1761936371885087,0.000000000,0.000000000,0.000,1.421743,0.065478,-0.901281,0.000000,0.000000,0.000000
402511637,1761936371892116,0.000000000,0.000000000,0.000,1.421738,0.065484,-0.901281,0.000000,0.000000,0.000000
402518684,1761936371899163,0.000000000,0.000000000,0.000,1.421729,0.065481,-0.901276,0.000000,0.000000,0.000000
