timestamp,pqr_x,pqr_y,pqr_z,acc_x,acc_y,acc_z
1760391187208680,0.004362,-0.002279,0.000701,0.417830,-5.541949,-7.959369
1760391187209799,-0.000942,-0.001469,-0.000148,0.410019,-5.556474,-7.987869
1760391187210758,0.001930,0.000599,-0.002619,0.417985,-5.534042,-7.986401
1760391187211726,-0.001348,-0.000231,-0.001001,0.405218,-5.548463,-7.983243
1760391187212684,-0.001323,0.001007,-0.003872,0.405148,-5.557910,-7.964107
1760391187213643,-0.005411,0.002630,-0.003483,0.400367,-5.553188,-7.968938
1760391187214760,-0.001760,0.000185,-0.000993,0.403532,-5.542052,-7.970527
1760391187215719,-0.002566,-0.002729,-0.000982,0.403462,-5.540439,-7.972126
1760391187216677,-0.000520,0.000164,-0.001809,0.424139,-5.519635,-7.964185
1760391187217635,0.003157,-0.001483,-0.001362,0.411563,-5.527628,-7.972226
1760391187218762,0.001915,-0.000642,-0.000134,0.409974,-5.543586,-7.973691
1760391187219720,0.000274,0.000585,-0.001821,0.424292,-5.549978,-7.967222
1760391187220678,-0.003819,-0.001882,0.001044,0.414737,-5.558034,-7.976742
1760391187221837,-0.002985,-0.002317,-0.000580,0.417815,-5.545145,-7.962498
1760391187222637,0.002336,0.000185,-0.001378,0.413065,-5.546769,-7.962496
1760391187223754,-0.005028,-0.001488,-0.001410,0.425937,-5.550025,-7.979896
1760391187224894,-0.000514,-0.004346,-0.002617,0.416270,-5.538866,-7.978396
1760391187225702,-0.001349,-0.003112,-0.000578,0.419443,-5.549974,-7.964054
1760391187226669,-0.004201,-0.001469,-0.001821,0.405288,-5.570765,-7.972054
1760391187227787,0.003578,-0.001879,-0.001775,0.413081,-5.559629,-7.968809
1760391187228745,0.000286,-0.003119,-0.000146,0.409967,-5.569202,-7.976697
1760391187229703,0.001922,-0.000248,-0.002614,0.419447,-5.546822,-7.973568
1760391187230663,-0.006236,0.000606,-0.000631,0.405053,-5.556386,-7.960893
1760391187231636,0.000296,-0.001059,-0.000983,0.418055,-5.561158,-7.972032
1760391187232763,-0.001736,-0.001474,-0.002219,0.416420,-5.554808,-7.972072
1760391187233721,-0.001734,-0.002316,-0.004670,0.405222,-5.556390,-7.968931
1760391187234680,0.003189,-0.001062,-0.005462,0.403518,-5.537223,-7.965841
1760391187235639,0.002754,-0.001067,-0.003398,0.403606,-5.559578,-7.972041
1760391187236755,0.001109,-0.001039,-0.003039,0.414737,-5.548415,-7.975173
1760391187237713,0.000292,0.000986,-0.002621,0.421029,-5.548314,-7.964031
1760391187238672,-0.001759,0.000575,-0.001415,0.417979,-5.543618,-7.986331
1760391187239798,-0.001376,0.001826,-0.001004,0.419472,-5.553196,-7.979879
1760391187240756,0.000682,0.001423,-0.000564,0.419444,-5.545174,-7.965636
1760391187241753,-0.000531,-0.003141,-0.002200,0.414717,-5.543635,-7.972056
1760391187242714,-0.002164,-0.001477,-0.003462,0.414593,-5.538856,-7.960983
1760391187243672,0.001097,0.003087,-0.001813,0.411616,-5.535645,-7.980171
1760391187244630,-0.003824,0.000606,0.003083,0.414707,-5.549987,-7.967294
1760391187245747,-0.002955,-0.000234,-0.002230,0.417836,-5.551555,-7.965663
1760391187246716,-0.008284,0.001394,-0.001449,0.413108,-5.559633,-7.972003
1760391187247674,0.005202,0.000605,-0.002176,0.409996,-5.554818,-7.978405
1760391187248790,0.002335,-0.000231,-0.000555,0.401919,-5.546806,-7.965737
1760391187249748,-0.000128,-0.000218,-0.000563,0.411535,-5.553249,-7.981517
1760391187250706,-0.001380,-0.001869,0.001063,0.421000,-5.553160,-7.963999
1760391187251665,-0.000927,0.000179,-0.001811,0.405176,-5.551649,-7.973737
1760391187252623,-0.003768,-0.001062,-0.001005,0.403528,-5.543632,-7.970541
1760391187253749,0.004376,-0.001461,-0.001769,0.403627,-5.545179,-7.976928
1760391187254708,-0.000109,-0.003133,-0.003421,0.411512,-5.550044,-7.967291
1760391187255667,0.003559,0.000192,-0.001371,0.408323,-5.542027,-7.968965
1760391187256625,0.002362,-0.002715,-0.003411,0.409815,-5.532423,-7.967361
1760391187257741,-0.000148,0.000998,-0.000154,0.413112,-5.532423,-7.973718
1760391187258699,-0.000138,-0.001067,-0.000158,0.413123,-5.541976,-7.972117
1760391187259657,-0.001747,-0.002705,-0.001789,0.424328,-5.550013,-7.981531
1760391187260797,-0.003387,-0.000237,-0.002650,0.400360,-5.556371,-7.972070
1760391187261755,-0.004194,0.001407,-0.003068,0.419625,-5.540409,-7.989575
1760391187262714,0.000692,-0.002688,-0.000561,0.417907,-5.540384,-7.970519
1760391187263671,-0.002951,-0.000228,-0.003044,0.419349,-5.546812,-7.960845
1760391187264630,0.000288,0.001421,-0.003030,0.402004,-5.543634,-7.978500
