monotonic_us,timestamp_us,lat_deg,lon_deg,week,timeOfWeek_s,insStatus,hdwStatus,alt_m,roll_rad,pitch_rad,yaw_rad,vel_U_m_s,vel_V_m_s,vel_W_m_s,ned_N_m,ned_E_m,ned_D_m
612700,1763331363024942,0.000000000,0.000000000,1,215463.279346,329745,33554432,0.000,1.403001,0.018761,-1.016715,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
619701,1763331363031942,0.000000000,0.000000000,1,215463.286346,329745,33554432,0.000,1.403002,0.018763,-1.016706,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
626666,1763331363038907,0.000000000,0.000000000,1,215463.293346,329745,33554432,0.000,1.402994,0.018758,-1.016712,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
633675,1763331363045917,0.000000000,0.000000000,1,215463.300346,329745,33554432,0.000,1.402995,0.018749,-1.016704,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
640648,1763331363052890,0.000000000,0.000000000,1,215463.307346,329745,33554432,0.000,1.402997,0.018749,-1.016702,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
647624,1763331363059866,0.000000000,0.000000000,1,215463.314346,329745,33554432,0.000,1.402999,0.018756,-1.016701,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
654651,1763331363066893,0.000000000,0.000000000,1,215463.321346,329745,33554432,0.000,1.403003,0.018755,-1.016706,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
661648,1763331363073889,0.000000000,0.000000000,1,215463.328346,329745,33554432,0.000,1.402992,0.018771,-1.016693,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
668653,1763331363080894,0.000000000,0.000000000,1,215463.335346,329745,33554432,0.000,1.402986,0.018773,-1.016696,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
675629,1763331363087870,0.000000000,0.000000000,1,215463.342346,329745,33554432,0.000,1.402983,0.018773,-1.016683,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
