monotonic_ns,timestamp_ns,lat_deg,lon_deg,week,timeOfWeek_s,insStatus,hdwStatus,alt_m,roll_rad,pitch_rad,yaw_rad,vel_U_m_s,vel_V_m_s,vel_W_m_s,ned_N_m,ned_E_m,ned_D_m
417192302,1763493607115362103,0.000000000,0.000000000,1,377707.004346,329745,33554432,0.000,1.488707,0.037646,-1.117898,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
424110926,1763493607122280708,0.000000000,0.000000000,1,377707.011346,329745,33554432,0.000,1.488696,0.037641,-1.117899,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
431174678,1763493607129344479,0.000000000,0.000000000,1,377707.018346,329745,33554432,0.000,1.488677,0.037641,-1.117909,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
438197394,1763493607136367176,0.000000000,0.000000000,1,377707.025346,329745,33554432,0.000,1.488684,0.037637,-1.117913,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
445070869,1763493607143240651,0.000000000,0.000000000,1,377707.032346,329745,33554432,0.000,1.488682,0.037630,-1.117913,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
452114881,1763493607150284663,0.000000000,0.000000000,1,377707.039346,329745,33554432,0.000,1.488697,0.037625,-1.117912,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
459145374,1763493607157315157,0.000000000,0.000000000,1,377707.046346,329745,33554432,0.000,1.488730,0.037617,-1.117903,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
466195590,1763493607164365372,0.000000000,0.000000000,1,377707.053346,329745,33554433,0.000,1.488767,0.037612,-1.117894,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
473078195,1763493607171247977,0.000000000,0.000000000,1,377707.060346,329745,33554433,0.000,1.488806,0.037607,-1.117902,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
480128318,1763493607178298100,0.000000000,0.000000000,1,377707.067346,329745,33554433,0.000,1.488837,0.037599,-1.117893,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
487156570,1763493607185326353,0.000000000,0.000000000,1,377707.074346,329745,33554433,0.000,1.488859,0.037600,-1.117893,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
494069490,1763493607192239272,0.000000000,0.000000000,1,377707.081346,329745,33554433,0.000,1.488856,0.037601,-1.117896,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
501128094,1763493607199297877,0.000000000,0.000000000,1,377707.088346,329745,33554433,0.000,1.488844,0.037594,-1.117888,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
508175976,1763493607206345777,0.000000000,0.000000000,1,377707.095346,329745,33554432,0.000,1.488813,0.037594,-1.117897,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
515097192,1763493607213266975,0.000000000,0.000000000,1,377707.102346,329745,33554432,0.000,1.488790,0.037595,-1.117893,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
522164667,1763493607220334449,0.000000000,0.000000000,1,377707.109346,329745,33554432,0.000,1.488750,0.037603,-1.117892,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
529080772,1763493607227250554,0.000000000,0.000000000,1,377707.116346,329745,33554432,0.000,1.488712,0.037605,-1.117896,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
536138265,1763493607234308048,0.000000000,0.000000000,1,377707.123346,329745,33554432,0.000,1.488692,0.037616,-1.117905,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
543191795,1763493607241361578,0.000000000,0.000000000,1,377707.130346,329745,33554432,0.000,1.488686,0.037610,-1.117908,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
550101234,1763493607248271016,0.000000000,0.000000000,1,377707.137346,329745,33554432,0.000,1.488702,0.037606,-1.117910,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
557150245,1763493607255320028,0.000000000,0.000000000,1,377707.144346,329745,33554432,0.000,1.488720,0.037602,-1.117905,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
564229628,1763493607262399410,0.000000000,0.000000000,1,377707.151346,329745,33554432,0.000,1.488741,0.037599,-1.117907,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
571118455,1763493607269288237,0.000000000,0.000000000,1,377707.158346,329745,33554432,0.000,1.488769,0.037597,-1.117895,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
