monotonic_ns,timestamp_ns,time_s,status,pqr_P_rad_s,pqr_Q_rad_s,pqr_R_rad_s,acc_X_m_s2,acc_Y_m_s2,acc_Z_m_s2
194969357,1763493606893139140,377706.783346,4128768,-0.000547,0.001420,-0.003870,0.366079,-9.736232,-0.799612
195950132,1763493606894119933,377706.784346,4128768,0.003084,0.001432,0.000266,0.358225,-9.739417,-0.807567
196931573,1763493606895101355,377706.785346,4128768,-0.002203,-0.000649,-0.000172,0.364564,-9.742554,-0.788523
197912106,1763493606896081888,377706.786346,4128768,0.001075,0.001412,-0.003443,0.362938,-9.739352,-0.785351
198908529,1763493606897078311,377706.787346,4128768,-0.000970,-0.003961,-0.000158,0.370922,-9.745735,-0.799520
199889488,1763493606898059289,377706.788346,4128768,-0.000149,-0.001866,0.000261,0.358164,-9.745724,-0.798056
200911207,1763493606899080970,377706.789346,4128768,-0.000156,-0.000241,-0.000969,0.377350,-9.742614,-0.812253
201891499,1763493606900061282,377706.790346,4128768,0.001091,-0.002332,-0.004663,0.366145,-9.752163,-0.797929
202871588,1763493606901041371,377706.791346,4128768,0.002329,-0.000648,-0.003821,0.361322,-9.750589,-0.796372
204010510,1763493606902180311,377706.792346,4128768,-0.003407,-0.003550,-0.003039,0.377237,-9.747355,-0.796273
204990766,1763493606903160567,377706.793346,4128768,0.001886,-0.000632,0.000665,0.366145,-9.736250,-0.809104
205971059,1763493606904140841,377706.794346,4128768,0.002276,-0.003520,0.000285,0.363000,-9.755358,-0.805865
206951500,1763493606905121301,377706.795346,4128768,-0.001357,0.000572,-0.004261,0.367682,-9.748923,-0.788416
207946237,1763493606906116019,377706.796346,4128768,0.000633,-0.003115,0.001903,0.374112,-9.750589,-0.799481
208945048,1763493606907114812,377706.797346,4128768,0.001884,0.001449,-0.000983,0.359578,-9.745760,-0.793136
209925971,1763493606908095771,377706.798346,4128768,-0.003015,0.000196,0.001461,0.371016,-9.760135,-0.804177
210906208,1763493606909075990,377706.799346,4128768,-0.002218,-0.001469,0.001480,0.358197,-9.744209,-0.812280
211886649,1763493606910056431,377706.800346,4128768,-0.000143,-0.003947,-0.000961,0.361480,-9.747376,-0.809171
212867182,1763493606911036965,377706.801346,4128768,-0.000135,0.000609,-0.001391,0.361479,-9.752218,-0.810716
214006289,1763493606912176072,377706.802346,4128768,0.005521,-0.001043,0.000696,0.358114,-9.753732,-0.797930
215001489,1763493606913171272,377706.803346,4128768,0.003141,-0.001445,-0.000552,0.359770,-9.742624,-0.798023
215981727,1763493606914151509,377706.804346,4128768,0.001510,0.001025,-0.002205,0.369322,-9.758525,-0.804175
216963445,1763493606915133246,377706.805346,4128768,-0.001387,0.001000,-0.000579,0.356641,-9.753818,-0.809121
217943720,1763493606916113502,377706.806346,4128768,0.002729,-0.003133,-0.002972,0.380473,-9.748996,-0.805796
218932698,1763493606917102461,377706.807346,4128768,0.001488,-0.004777,-0.003014,0.382171,-9.740938,-0.809020
219913324,1763493606918083125,377706.808346,4128768,0.003128,-0.000216,-0.002181,0.370931,-9.747309,-0.799549
220894635,1763493606919064436,377706.809346,4128768,0.004759,-0.001884,-0.001364,0.372479,-9.745759,-0.797931
221890224,1763493606920060025,377706.810346,4128768,0.001084,0.002252,-0.000559,0.367730,-9.739403,-0.801166
222870702,1763493606921040484,377706.811346,4128768,0.000667,-0.002712,-0.002197,0.354920,-9.740908,-0.788534
224009457,1763493606922179239,377706.812346,4128768,0.000276,-0.000643,-0.003027,0.378994,-9.752098,-0.812168
224991120,1763493606923160921,377706.813346,4128768,0.000670,-0.000214,-0.002210,0.375751,-9.755371,-0.797866
225971043,1763493606924140862,377706.814346,4128768,0.001892,-0.000647,-0.000548,0.367722,-9.737757,-0.796457
226950947,1763493606925120729,377706.815346,4128768,0.004324,-0.000627,0.000285,0.361409,-9.760116,-0.796391
227949480,1763493606926119281,377706.816346,4128768,0.001481,-0.000190,-0.001393,0.364615,-9.756954,-0.796380
228961588,1763493606927131370,377706.817346,4128768,0.005171,-0.000631,-0.000117,0.375753,-9.756945,-0.805804
229942158,1763493606928111940,377706.818346,4128768,0.005138,-0.003541,-0.000931,0.361436,-9.753744,-0.813858
230922636,1763493606929092437,377706.819346,4128768,0.001089,0.002240,-0.002623,0.369298,-9.747323,-0.796350
231902929,1763493606930072730,377706.820346,4128768,0.001468,-0.003121,-0.000138,0.369243,-9.740938,-0.788447
232884462,1763493606931054245,377706.821346,4128768,0.005146,0.000184,-0.001356,0.370726,-9.745689,-0.782026
