timestamp,lat,lon,alt,roll,pitch,yaw,vel_x,vel_y,vel_z
1760402313665303,0.000000000,0.000000000,0.000,0.608149,0.042285,-0.942984,0.000000,0.000000,0.000000
1760402313672275,0.000000000,0.000000000,0.000,0.608144,0.042276,-0.942992,0.000000,0.000000,0.000000
1760402313679315,0.000000000,0.000000000,0.000,0.608140,0.042277,-0.942988,0.000000,0.000000,0.000000
1760402313686194,0.000000000,0.000000000,0.000,0.608144,0.042284,-0.942987,0.000000,0.000000,0.000000
1760402313693232,0.000000000,0.000000000,0.000,0.608156,0.042284,-0.942989,0.000000,0.000000,0.000000
1760402313700271,0.000000000,0.000000000,0.000,0.608153,0.042282,-0.943000,0.000000,0.000000,0.000000
1760402313707309,0.000000000,0.000000000,0.000,0.608155,0.042278,-0.943000,0.000000,0.000000,0.000000
1760402313714190,0.000000000,0.000000000,0.000,0.608151,0.042278,-0.943005,0.000000,0.000000,0.000000
1760402313721300,0.000000000,0.000000000,0.000,0.608152,0.042273,-0.943004,0.000000,0.000000,0.000000
1760402313728182,0.000000000,0.000000000,0.000,0.608146,0.042270,-0.943006,0.000000,0.000000,0.000000
1760402313735221,0.000000000,0.000000000,0.000,0.608140,0.042267,-0.943007,0.000000,0.000000,0.000000
1760402313742261,0.000000000,0.000000000,0.000,0.608153,0.042273,-0.942996,0.000000,0.000000,0.000000
1760402313749309,0.000000000,0.000000000,0.000,0.608163,0.042274,-0.942998,0.000000,0.000000,0.000000
1760402313756197,0.000000000,0.000000000,0.000,0.608165,0.042279,-0.942995,0.000000,0.000000,0.000000
1760402313763236,0.000000000,0.000000000,0.000,0.608164,0.042272,-0.942994,0.000000,0.000000,0.000000
1760402313770317,0.000000000,0.000000000,0.000,0.608172,0.042282,-0.942988,0.000000,0.000000,0.000000
1760402313777195,0.000000000,0.000000000,0.000,0.608163,0.042269,-0.942995,0.000000,0.000000,0.000000
1760402313784234,0.000000000,0.000000000,0.000,0.608162,0.042271,-0.942995,0.000000,0.000000,0.000000
1760402313791269,0.000000000,0.000000000,0.000,0.608156,0.042272,-0.942994,0.000000,0.000000,0.000000
1760402313798306,0.000000000,0.000000000,0.000,0.608154,0.042266,-0.942995,0.000000,0.000000,0.000000
1760402313805197,0.000000000,0.000000000,0.000,0.608146,0.042257,-0.942998,0.000000,0.000000,0.000000
1760402313812233,0.000000000,0.000000000,0.000,0.608140,0.042265,-0.943001,0.000000,0.000000,0.000000
1760402313819271,0.000000000,0.000000000,0.000,0.608148,0.042263,-0.943006,0.000000,0.000000,0.000000
1760402313826194,0.000000000,0.000000000,0.000,0.608147,0.042258,-0.942998,0.000000,0.000000,0.000000
1760402313833231,0.000000000,0.000000000,0.000,0.608140,0.042257,-0.942991,0.000000,0.000000,0.000000
1760402313840272,0.000000000,0.000000000,0.000,0.608142,0.042255,-0.942996,0.000000,0.000000,0.000000
1760402313847311,0.000000000,0.000000000,0.000,0.608147,0.042256,-0.942990,0.000000,0.000000,0.000000
1760402313854205,0.000000000,0.000000000,0.000,0.608150,0.042259,-0.942985,0.000000,0.000000,0.000000
1760402313861245,0.000000000,0.000000000,0.000,0.608151,0.042253,-0.942988,0.000000,0.000000,0.000000
1760402313868301,0.000000000,0.000000000,0.000,0.608155,0.042261,-0.942987,0.000000,0.000000,0.000000
1760402313875338,0.000000000,0.000000000,0.000,0.608151,0.042260,-0.942991,0.000000,0.000000,0.000000
1760402313882218,0.000000000,0.000000000,0.000,0.608155,0.042252,-0.942993,0.000000,0.000000,0.000000
1760402313889269,0.000000000,0.000000000,0.000,0.608160,0.042257,-0.942994,0.000000,0.000000,0.000000
1760402313896309,0.000000000,0.000000000,0.000,0.608160,0.042258,-0.942998,0.000000,0.000000,0.000000
1760402313903347,0.000000000,0.000000000,0.000,0.608159,0.042258,-0.943001,0.000000,0.000000,0.000000
1760402313910226,0.000000000,0.000000000,0.000,0.608168,0.042253,-0.943001,0.000000,0.000000,0.000000
1760402313917263,0.000000000,0.000000000,0.000,0.608166,0.042250,-0.943007,0.000000,0.000000,0.000000
1760402313924333,0.000000000,0.000000000,0.000,0.608176,0.042258,-0.943007,0.000000,0.000000,0.000000
1760402313931230,0.000000000,0.000000000,0.000,0.608176,0.042260,-0.943009,0.000000,0.000000,0.000000
1760402313938266,0.000000000,0.000000000,0.000,0.608176,0.042261,-0.943013,0.000000,0.000000,0.000000
1760402313945319,0.000000000,0.000000000,0.000,0.608182,0.042261,-0.943013,0.000000,0.000000,0.000000
1760402313952354,0.000000000,0.000000000,0.000,0.608185,0.042256,-0.943017,0.000000,0.000000,0.000000
1760402313959235,0.000000000,0.000000000,0.000,0.608182,0.042260,-0.943015,0.000000,0.000000,0.000000
1760402313966289,0.000000000,0.000000000,0.000,0.608183,0.042267,-0.943014,0.000000,0.000000,0.000000
1760402313973353,0.000000000,0.000000000,0.000,0.608183,0.042274,-0.943012,0.000000,0.000000,0.000000
1760402313980232,0.000000000,0.000000000,0.000,0.608175,0.042276,-0.943013,0.000000,0.000000,0.000000
1760402313987269,0.000000000,0.000000000,0.000,0.608178,0.042271,-0.943008,0.000000,0.000000,0.000000
1760402313994306,0.000000000,0.000000000,0.000,0.608168,0.042274,-0.943007,0.000000,0.000000,0.000000
1760402314001344,0.000000000,0.000000000,0.000,0.608173,0.042274,-0.943007,0.000000,0.000000,0.000000
1760402314008224,0.000000000,0.000000000,0.000,0.608174,0.042266,-0.943020,0.000000,0.000000,0.000000
1760402314015273,0.000000000,0.000000000,0.000,0.608171,0.042274,-0.943015,0.000000,0.000000,0.000000
1760402314022291,0.000000000,0.000000000,0.000,0.608179,0.042273,-0.943018,0.000000,0.000000,0.000000
1760402314029332,0.000000000,0.000000000,0.000,0.608182,0.042280,-0.943021,0.000000,0.000000,0.000000
1760402314036370,0.000000000,0.000000000,0.000,0.608188,0.042280,-0.943015,0.000000,0.000000,0.000000
1760402314043360,0.000000000,0.000000000,0.000,0.608194,0.042271,-0.943009,0.000000,0.000000,0.000000
1760402314050238,0.000000000,0.000000000,0.000,0.608194,0.042277,-0.943007,0.000000,0.000000,0.000000
1760402314057339,0.000000000,0.000000000,0.000,0.608200,0.042280,-0.943001,0.000000,0.000000,0.000000
1760402314064234,0.000000000,0.000000000,0.000,0.608199,0.042281,-0.943001,0.000000,0.000000,0.000000
1760402314071312,0.000000000,0.000000000,0.000,0.608202,0.042278,-0.942999,0.000000,0.000000,0.000000
1760402314078350,0.000000000,0.000000000,0.000,0.608202,0.042280,-0.943005,0.000000,0.000000,0.000000
1760402314085245,0.000000000,0.000000000,0.000,0.608203,0.042286,-0.942998,0.000000,0.000000,0.000000
1760402314092283,0.000000000,0.000000000,0.000,0.608202,0.042297,-0.943004,0.000000,0.000000,0.000000
1760402314099323,0.000000000,0.000000000,0.000,0.608214,0.042292,-0.943003,0.000000,0.000000,0.000000
1760402314106361,0.000000000,0.000000000,0.000,0.608223,0.042287,-0.942996,0.000000,0.000000,0.000000
1760402314113269,0.000000000,0.000000000,0.000,0.608223,0.042281,-0.943003,0.000000,0.000000,0.000000
1760402314120321,0.000000000,0.000000000,0.000,0.608229,0.042284,-0.942999,0.000000,0.000000,0.000000
1760402314127311,0.000000000,0.000000000,0.000,0.608234,0.042289,-0.943000,0.000000,0.000000,0.000000
1760402314134351,0.000000000,0.000000000,0.000,0.608244,0.042287,-0.943004,0.000000,0.000000,0.000000
1760402314141260,0.000000000,0.000000000,0.000,0.608251,0.042284,-0.943007,0.000000,0.000000,0.000000
1760402314148312,0.000000000,0.000000000,0.000,0.608249,0.042287,-0.942999,0.000000,0.000000,0.000000
1760402314155350,0.000000000,0.000000000,0.000,0.608248,0.042286,-0.943000,0.000000,0.000000,0.000000
1760402314162568,0.000000000,0.000000000,0.000,0.608259,0.042291,-0.943004,0.000000,0.000000,0.000000
1760402314169367,0.000000000,0.000000000,0.000,0.608270,0.042284,-0.943004,0.000000,0.000000,0.000000
1760402314176290,0.000000000,0.000000000,0.000,0.608274,0.042277,-0.942994,0.000000,0.000000,0.000000
1760402314183375,0.000000000,0.000000000,0.000,0.608279,0.042271,-0.943002,0.000000,0.000000,0.000000
1760402314190272,0.000000000,0.000000000,0.000,0.608282,0.042269,-0.942992,0.000000,0.000000,0.000000
1760402314197321,0.000000000,0.000000000,0.000,0.608278,0.042270,-0.942985,0.000000,0.000000,0.000000
1760402314204269,0.000000000,0.000000000,0.000,0.608277,0.042265,-0.942990,0.000000,0.000000,0.000000
1760402314211562,0.000000000,0.000000000,0.000,0.608282,0.042269,-0.942984,0.000000,0.000000,0.000000
1760402314218285,0.000000000,0.000000000,0.000,0.608274,0.042270,-0.942982,0.000000,0.000000,0.000000
1760402314225384,0.000000000,0.000000000,0.000,0.608284,0.042265,-0.942984,0.000000,0.000000,0.000000
1760402314232265,0.000000000,0.000000000,0.000,0.608290,0.042258,-0.942989,0.000000,0.000000,0.000000
1760402314239331,0.000000000,0.000000000,0.000,0.608286,0.042263,-0.942993,0.000000,0.000000,0.000000
